# Model ID,Human-readable Name
x-ai/grok-code-fast-1,Grok Code Fast 1
x-ai/grok-4-fast,Grok 4 Fast
minimax/minimax-m2,MiniMax M2
google/gemini-3-pro-preview,Gemini 3 Pro Preview
x-ai/grok-4.1-fast,Grok 4.1 Fast
deepseek/deepseek-chat-v3-0324,DeepSeek Chat V3 0324
deepseek/deepseek-v3.2-speciale,DeepSeek V3.2 Speciale
openai/gpt-5-mini,GPT-5 Mini
openai/gpt-5.1-codex-max,GPT-5.1 Codex Max
qwen/qwen3-235b-a22b-2507,Qwen3 235B A22B 2507
anthropic/claude-haiku-4.5,Claude Haiku 4.5
anthropic/claude-opus-4.5,Claude Opus 4.5
amazon/nova-2-lite-v1:free,Nova 2 Lite v1 (Free)
mistralai/ministral-14b-2512,Ministral 14B 2512
